DATE,VALUE
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
2007-01-01,203.437
2007-02-01,204.226
2007-03-01,205.288
2007-04-01,205.904
2007-05-01,206.755
2007-06-01,207.234
2007-07-01,207.603
2007-08-01,207.667
2007-09-01,208.547
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.952
2009-02-01,212.823
2009-03-01,212.523
2009-04-01,212.657
2009-05-01,212.998
2009-06-01,214.791
2009-07-01,214.720
2009-08-01,215.442
2009-09-01,215.880
2009-10-01,216.482
2009-11-01,217.165
2009-12-01,217.365
2010-01-01,217.478
2010-02-01,217.356
2010-03-01,217.380
2010-04-01,217.281
2010-05-01,217.230
2010-06-01,217.329
2010-07-01,217.690
2010-08-01,218.020
2010-09-01,218.319
2010-10-01,218.996
2010-11-01,219.471
2010-12-01,220.468
2011-01-01,221.067
2011-02-01,221.908
2011-03-01,223.106
2011-04-01,223.879
2011-05-01,224.747
2011-06-01,225.070
2011-07-01,225.594
2011-08-01,226.187
2011-09-01,226.753
2011-10-01,226.728
2011-11-01,227.049
2011-12-01,227.137
2012-01-01,227.605
2012-02-01,228.253
2012-03-01,228.950
2012-04-01,228.951
2012-05-01,228.648
2012-06-01,228.924
2012-07-01,228.836
2012-08-01,230.026
2012-09-01,231.227
2012-10-01,231.623
2012-11-01,231.071
2012-12-01,231.137
2013-01-01,231.198
2013-02-01,232.770
2013-03-01,232.340
2013-04-01,231.485
2013-05-01,231.831
2013-06-01,232.944
2013-07-01,233.318
2013-08-01,233.526
